NACA4412
   0.16803	   0.08251
   0.15925	   0.08078
   0.15056	   0.07895
   0.14194	   0.07702
   0.13341	   0.07499
   0.12497	   0.07286
   0.11665	   0.07064
   0.10847	   0.06835
   0.10047	   0.06598
   0.09270	   0.06357
   0.08520	   0.06112
   0.07803	   0.05864
   0.07121	   0.05613
   0.06476	   0.05361
   0.05870	   0.05110
   0.05305	   0.04864
   0.04783	   0.04624
   0.04304	   0.04392
   0.03867	   0.04169
   0.03469	   0.03957
   0.03107	   0.03753
   0.02779	   0.03559
   0.02482	   0.03373
   0.02212	   0.03194
   0.01967	   0.03022
   0.01744	   0.02855
   0.01542	   0.02692
   0.01358	   0.02533
   0.01190	   0.02378
   0.01037	   0.02227
   0.00897	   0.02081
   0.00769	   0.01937
   0.00653	   0.01798
   0.00547	   0.01661
   0.00451	   0.01528
   0.00364	   0.01397
   0.00286	   0.01269
   0.00217	   0.01143
   0.00156	   0.01019
   0.00104	   0.00897
   0.00061	   0.00777
   0.00026	   0.00659
   0.00001	  -0.00015
   0.00031	  -0.00129
   0.00072	  -0.00242
   0.00123	  -0.00354
   0.00185	  -0.00465
   0.00257	  -0.00576
   0.00338	  -0.00685
   0.00430	  -0.00793
   0.00530	  -0.00900
   0.00641	  -0.01006
   0.00762	  -0.01110
   0.00893	  -0.01213
   0.01035	  -0.01314
   0.01189	  -0.01414
   0.01355	  -0.01511
   0.01536	  -0.01605
   0.01731	  -0.01696
   0.01943	  -0.01783
   0.02173	  -0.01868
   0.02422	  -0.01950
   0.02693	  -0.02032
   0.02989	  -0.02113
   0.03310	  -0.02194
   0.03661	  -0.02274
   0.04045	  -0.02353
   0.04466	  -0.02430
   0.04926	  -0.02503
   0.05431	  -0.02572
   0.05984	  -0.02636
   0.06587	  -0.02695
   0.07243	  -0.02747
   0.07951	  -0.02794
   0.08707	  -0.02835
   0.09507	  -0.02868
   0.10343	  -0.02894
   0.11211	  -0.02912
   0.12104	  -0.02922
   0.13021	  -0.02923
   0.13956	  -0.02918
   0.14908	  -0.02906
   0.15871	  -0.02889
   0.16843	  -0.02867
   0.17820	  -0.02841
   0.18803	  -0.02809
   0.19791	  -0.02772
   0.20785	  -0.02730
   0.21788	  -0.02684
   0.22800	  -0.02634
   0.23820	  -0.02583
   0.24846	  -0.02532
   0.25875	  -0.02480
   0.26905	  -0.02430
   0.27938	  -0.02380
   0.28972	  -0.02331
   0.30009	  -0.02282
   0.31046	  -0.02233
   0.32084	  -0.02183
   0.33121	  -0.02134
   0.34157	  -0.02085
   0.35193	  -0.02037
   0.36227	  -0.01989
   0.37261	  -0.01941
   0.38294	  -0.01895
   0.39326	  -0.01849
   0.40357	  -0.01805
   0.41389	  -0.01761
   0.42422	  -0.01718
   0.43456	  -0.01676
   0.44491	  -0.01635
   0.45528	  -0.01594
   0.46565	  -0.01553
   0.47604	  -0.01512
   0.48642	  -0.01471
   0.49680	  -0.01429
   0.50718	  -0.01388
   0.51757	  -0.01346
   0.52795	  -0.01304
   0.53834	  -0.01262
   0.54873	  -0.01219
   0.55912	  -0.01177
   0.56949	  -0.01135
   0.57986	  -0.01093
   0.59021	  -0.01052
   0.60056	  -0.01012
   0.61090	  -0.00972
   0.62124	  -0.00933
   0.63157	  -0.00894
   0.64189	  -0.00856
   0.65221	  -0.00819
   0.66253	  -0.00783
   0.67283	  -0.00748
   0.68313	  -0.00714
   0.69343	  -0.00681
   0.70372	  -0.00649
   0.71403	  -0.00618
   0.72433	  -0.00589
   0.73464	  -0.00560
   0.74494	  -0.00532
   0.75525	  -0.00505
   0.76557	  -0.00479
   0.77589	  -0.00453
   0.78621	  -0.00429
   0.79653	  -0.00405
   0.80685	  -0.00382
   0.81715	  -0.00360
   0.82745	  -0.00339
   0.83773	  -0.00319
   0.84801	  -0.00300
   0.85828	  -0.00282
   0.86854	  -0.00266
   0.87877	  -0.00250
   0.88898	  -0.00236
   0.89915	  -0.00225
   0.90928	  -0.00214
   0.91934	  -0.00204
   0.92926	  -0.00193
   0.93900	  -0.00180
   0.94850	  -0.00164
   0.95768	  -0.00145
   0.96649	  -0.00122
   0.97483	  -0.00097
   0.98258	  -0.00071
   0.98968	  -0.00044
   0.99610	  -0.00018
   1.00000	   0.00000
