name,is_baseline,status,dat_file,t_max,x_tmax,dz_u,dz_l,Au_0,Au_1,Au_2,Au_3,Au_4,Au_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5
sample_022,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_022.dat,0.15673845190244817,0.35270541082164325,-5.418617429753247e-10,-1.4100489872936883e-10,0.17618688766623006,0.304417900122288,0.3282725328428329,0.2752034720838992,0.23214110400282284,0.2695828053047904,-0.11770136254532876,-0.10668953149238682,-0.1273548668849382,-0.1446508522026564,-0.07738748481212064,0.15139050748522692
sample_023,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_023.dat,0.14850078660044602,0.3687374749498998,-5.418617429753247e-10,-1.4100489872936883e-10,0.20266640795506108,0.28189170013510667,0.30599503450715676,0.332714813493937,0.2471085308234686,0.28328342991029526,-0.10236039504652021,-0.0732864828356757,-0.12032682497126918,-0.11802394710354647,-0.022559584399369836,0.10084219507982567
sample_024,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_024.dat,0.1319661512769424,0.2725450901803607,-5.418617429753247e-10,-1.4100489872936883e-10,0.29657866616760753,0.21738232061053514,0.30889054315263237,0.23974769524719572,0.3469547721236118,0.287342866209546,-0.1366094453332217,-0.1007662941647667,-0.04653170536692586,-0.03203545738304446,0.00999514216922573,0.07770392982741794
sample_025,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_025.dat,0.13070776907615897,0.3306613226452906,-5.418617429753247e-10,-1.4100489872936883e-10,0.23225416680712116,0.25286390131949205,0.23037414383963103,0.23973028995975998,0.2879450536670047,0.1950500062661075,-0.13163537060686445,-0.10134291051400166,-0.05679376132942565,-0.1501088902157739,-0.09398147719391407,0.04596062783549816
sample_026,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_026.dat,0.13763709351165448,0.344689378757515,-5.418617429753247e-10,-1.4100489872936883e-10,0.24592537904527992,0.2806810516930146,0.2974799176845106,0.2787768940061038,0.24695755037649564,0.24233848679335962,-0.05108230186738802,-0.0675201093917018,-0.09911195869129155,-0.10446482790176619,0.013251328162537379,0.1624601793074729
sample_027,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_027.dat,0.15593788368757985,0.31462925851703405,-5.418617429753247e-10,-1.4100489872936883e-10,0.23253940266783085,0.30804752852753375,0.29870795623530777,0.3404130770392712,0.2221256530754099,0.29388583164843823,-0.10671465673885548,-0.15438691492850992,-0.10064161536546812,-0.04400106020993619,-0.06828904711148095,0.11296323870429918
sample_028,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_028.dat,0.14579544940837397,0.2865731462925851,-5.418617429753247e-10,-1.4100489872936883e-10,0.20579268348698296,0.29814282198156183,0.28584332962253733,0.2769552907242613,0.2975036871011164,0.17882695591848194,-0.1694992848517929,-0.1259822223062655,-0.08094908104160575,-0.04637397695873842,0.021254628613719975,0.07360973014190414
sample_029,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_029.dat,0.14027295863916128,0.38476953907815625,-5.418617429753247e-10,-1.4100489872936883e-10,0.28550465043116346,0.23036315086329354,0.276025720835328,0.33654701187021957,0.32553996460838297,0.1875221597837323,-0.051985004072986674,-0.10356946634858166,-0.06501002595950937,-0.14690162459219538,-0.01590924481915805,0.07424768316208505
sample_030,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_030.dat,0.14447069781653027,0.3246492985971944,-5.418617429753247e-10,-1.4100489872936883e-10,0.2618884188184123,0.27392447528728814,0.24503964255362395,0.22966661474183225,0.30738957757599195,0.2800289854271615,-0.05880264615765102,-0.15443664199540572,-0.09958840523090871,-0.14716198251491455,-0.07852990908573043,0.11824434495448581
sample_031,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_031.dat,0.13530405118461758,0.3006012024048096,-5.418617429753247e-10,-1.4100489872936883e-10,0.2818788515889169,0.19826233597340695,0.27931622793858135,0.2292405252071547,0.24853485847761608,0.19380898335230923,-0.1389960353004583,-0.10296952063068134,-0.13109778047616327,-0.05729723974025484,-0.06304000859312668,0.09305286335787223
sample_032,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_032.dat,0.12776101580874216,0.39679358717434865,-5.418617429753247e-10,-1.4100489872936883e-10,0.2001146620878031,0.20292546141945936,0.33044605057141185,0.30645531876256665,0.34774407558216036,0.2696406443884872,-0.05142881516236669,-0.07784125333627996,-0.049910124602763395,-0.06536051343834284,0.018511784730147307,0.08150809769052697
sample_033,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_033.dat,0.14548670719481377,0.38276553106212424,-5.418617429753247e-10,-1.4100489872936883e-10,0.24266694090830832,0.20009387148385027,0.3012775043605057,0.3434790231176533,0.2779616051522941,0.2814782164861812,-0.09729747384767189,-0.10517524712031695,-0.13007984756377217,-0.09203217632445931,-0.06540165537315756,0.11947026882939149
sample_034,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_034.dat,0.1270695886138637,0.2945891783567134,-5.418617429753247e-10,-1.4100489872936883e-10,0.236301357438373,0.19270044843554723,0.2951466360805368,0.24142979276384108,0.22750570625506122,0.21525899777409974,-0.12729663959413004,-0.14027426490381426,-0.03920194154078739,-0.04351557864159018,-0.09471852787166211,0.08771711201584717
sample_035,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_035.dat,0.12665251085973436,0.3607214428857715,-5.418617429753247e-10,-1.4100489872936883e-10,0.2808236690365812,0.22496612380776929,0.2687820175704968,0.2728717824868385,0.29937070176598096,0.28676085317714006,-0.07843810740133703,-0.03125888567322482,-0.12553459376628925,-0.035360034527676845,-0.06663110017340568,0.0664773877397331
sample_036,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_036.dat,0.1487393109219728,0.30861723446893785,-5.418617429753247e-10,-1.4100489872936883e-10,0.28952934874593494,0.2868429121161675,0.31537923966200154,0.2605303163020457,0.24784602644692344,0.21864913431476993,-0.07351626868884702,-0.13106496267458126,-0.0771671586385881,-0.08164213150679912,-0.08931433141099548,0.09673606032482873
sample_037,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_037.dat,0.12910190034542765,0.25250501002004005,-5.418617429753247e-10,-1.4100489872936883e-10,0.2653457215947319,0.2976934212654603,0.26025623046833196,0.24838397220525799,0.3372410465767798,0.24987487005256104,-0.16300017708218115,-0.03874594826805787,-0.04274262989908752,-0.03053949976549508,-0.007137589635014929,0.12703291279020912
sample_038,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_038.dat,0.14230589138533745,0.3306613226452906,-5.418617429753247e-10,-1.4100489872936883e-10,0.19188942630422912,0.3205845211439794,0.2779414258329348,0.2871751262090023,0.239053816601687,0.22447184929431735,-0.16553926449219625,-0.048474639869846375,-0.09447036198848353,-0.12596105238617347,-0.00924853829421865,0.1521670701729148
sample_039,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_039.dat,0.12881070400347933,0.3306613226452906,-5.418617429753247e-10,-1.4100489872936883e-10,0.18688795637378197,0.27510630429539734,0.30309175656543647,0.2689729712652043,0.29733559748932314,0.23040601811630676,-0.06317758289703433,-0.10267746360301253,-0.04115896002914479,-0.03986002855468122,-0.01666352268050182,0.16683479153724418
sample_040,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_040.dat,0.13213271862891446,0.37675350701402804,-5.418617429753247e-10,-1.4100489872936883e-10,0.2218866940168836,0.24043532231374498,0.2811980272670952,0.31752036536496514,0.29893487444338246,0.2400269745388554,-0.13999302732502703,-0.030657754973853868,-0.09678595014896053,-0.07529900022689336,-0.05020225699722347,0.11895395277504701
sample_041,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_041.dat,0.14184395941254144,0.3667334669338677,-5.418617429753247e-10,-1.4100489872936883e-10,0.26242413085985955,0.28136718507876335,0.26783539037276394,0.3370339831092061,0.3127220814433489,0.2709423347345508,-0.0861033522762338,-0.04746423195677227,-0.1227984782246454,-0.08933508153752094,-0.011728095996076784,0.10888015418429368
sample_042,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_042.dat,0.13940820344338428,0.3607214428857715,-5.418617429753247e-10,-1.4100489872936883e-10,0.18596301453111153,0.29609197432458567,0.26825146612172057,0.251127200808275,0.2645878170520707,0.30125767499002953,-0.10325351774671165,-0.04376245130939384,-0.1366793796967766,-0.14335620288966625,-0.01573374743081281,0.0820259948659019
