name,is_baseline,status,alpha,cl,cd,cm,ld,t_max,x_tmax,polar_file,dat_file,dz_u,dz_l,Au_0,Au_1,Au_2,Au_3,Au_4,Au_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5
sample_020,False,ok,2.0,0.7703,0.00536,-0.117,143.71268656716418,0.12286530784571781,0.31462925851703405,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_020_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_020.dat,0.0015574793,-3.86697e-05,0.1568727254903209,0.2846791188916749,0.3386700339015878,0.1657229100923259,0.3268904732342809,0.2617754463120531,-0.1010555520125386,-0.0841558879460197,0.0087668335945318,-0.0664724528322685,-0.0129840391879446,0.0190049775202803
sample_021,False,ok,2.0,0.6376,0.00609,-0.0801,104.69622331691296,0.11096273022746433,0.24649298597194386,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_021_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_021.dat,0.0015574793,-3.86697e-05,0.1831157861867101,0.2842725725190118,0.2679420344690296,0.164413233302148,0.297281691962206,0.2084518992906727,-0.1730469592869693,-0.0262285995360037,0.040234910716238,-0.101021349780819,0.0351476726444497,-0.1024807458547518
sample_022,False,ok,2.0,0.7101,0.00498,-0.1034,142.59036144578312,0.13680030895967477,0.3306613226452906,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_022_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_022.dat,0.0015574793,-3.86697e-05,0.1588816656035533,0.2859668172378775,0.3556483525952069,0.1806879120957122,0.2498567773738366,0.2893779792330793,-0.1381604584342694,-0.0769443609175255,-0.0461519950144967,-0.1280092442298395,-0.0212427223384067,0.0030553010991424
sample_023,False,ok,2.0,0.7438,0.00491,-0.1086,151.4867617107943,0.12807679835541677,0.34669338677354705,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_023_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_023.dat,0.0015574793,-3.86697e-05,0.1853611858923844,0.2634406172506963,0.3333708542595307,0.23819925350575,0.2648242041944823,0.3030786038385842,-0.1228194909354608,-0.0435413122608144,-0.0391239531008276,-0.1013823391307296,0.033585178074344,-0.0474930113062587
sample_024,False,ok,2.0,0.7647,0.00701,-0.1121,109.08701854493582,0.11690260733422823,0.2124248496993988,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_024_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_024.dat,0.0015574793,-3.86697e-05,0.2792734441049308,0.1989312377261247,0.3362663629050063,0.1452321352590087,0.3646704454946256,0.3071380401378349,-0.1570685412221623,-0.0710211235899054,0.0346711665035156,-0.0153938494102276,0.0661399046429396,-0.0706312765586665
sample_025,False,ok,2.0,0.5714,0.00622,-0.0634,91.86495176848875,0.11273166521722922,0.25851703406813625,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_025_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_025.dat,0.0015574793,-3.86697e-05,0.2149489447444444,0.2344128184350817,0.257749963592005,0.145214729971573,0.3056607270380184,0.2148451801943964,-0.1520944664958051,-0.0715977399391404,0.0244091105410158,-0.133467282242957,-0.0378367147202001,-0.1023745785505862
sample_026,False,ok,2.0,0.7913,0.00507,-0.1063,156.0749506903353,0.11809564187616858,0.3166332665330661,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_026_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_026.dat,0.0015574793,-3.86697e-05,0.2286201569826032,0.2622299688086042,0.3248557374368845,0.1842613340179168,0.2646732237475094,0.2621336607216485,-0.0715413977563287,-0.0377749388168405,-0.01790908682085,-0.0878232199289493,0.0693960906362512,0.0141249729213884
sample_027,False,ok,2.0,0.7559,0.0057,-0.108,132.6140350877193,0.13778666836269768,0.280561122244489,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_027_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_027.dat,0.0015574793,-3.86697e-05,0.2152341806051541,0.2895964456431233,0.3260837759876817,0.2458975170510842,0.2398413264464236,0.3136810055767272,-0.1271737526277961,-0.1246417443536486,-0.0194387434950266,-0.0273594522371193,-0.012144284637767,-0.0353719676817852
sample_028,False,ok,2.0,0.6953,0.00583,-0.1029,119.26243567753002,0.12916975361989666,0.250501002004008,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_028_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_028.dat,0.0015574793,-3.86697e-05,0.1884874614243062,0.2796917390971514,0.3132191493749112,0.1824397307360743,0.3152193604721302,0.1986221298467708,-0.1899583807407335,-0.0962370517314042,0.0002537908288357,-0.0297323689859215,0.0773993910874338,-0.0747254762441803
sample_029,False,ok,2.0,0.7005,0.00545,-0.0854,128.53211009174314,0.11945093558754555,0.3607214428857715,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_029_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_029.dat,0.0015574793,-3.86697e-05,0.2681994283684867,0.2119120679788831,0.3034015405877019,0.2420314518820326,0.3432556379793967,0.2073173337120212,-0.0724440999619273,-0.0738242957737204,0.0161928459109321,-0.1302600166193785,0.0402355176545558,-0.0740875232239993
